ID,Name,Group,Calories,Fat,Protein,Carbohydrate,Sugars,Fiber,Saturated Fats,Calcium,"Iron, Fe","Potassium, K",Magnesium,Net-Carbs,PRAL score,Sucrose,Glucose (Dextrose),Fructose,"Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated"
167518,Waffle Buttermilk Frozen Ready-To-Heat Microwaved,Baked Foods,289,9.4,6.92,44.16,4.5,2.4,2.057,125,6.53,110,20,41.76,14.089,2.77,0,0,4864,1615
167519,Waffle Plain Frozen Ready-To-Heat Microwave,Baked Foods,298,9.91,6.71,45.41,5.04,2.4,1.58,197,5.81,148,25,43.01,12.117,3.31,0,0,5195,2240
167520,Pie Crust Cookie-Type Graham Cracker Ready Crust,Baked Foods,501,24.83,5.1,64.3,18.13,1.9,4.999,29,2.6,113,23,62.4,3.462,18.13,0,0,16928,1671
167528,Pastry Pastelitos De Guava (Guava Pastries),Baked Foods,379,18.5,5.48,47.76,17,2.2,5.535,14,2.12,103,15,45.56,2.007,12.37,2.29,1.41,8543,2835
167558,Snacks Tortilla Chips Plain White Corn Salted,Snacks,472,20.68,7.1,67.78,0.78,5.4,2.811,106,1.52,182,84,62.38,4.377,0.78,0,0,5664,10769
167568,Unsweetened Baking Chocolate,Sweets,642,52.31,14.32,28.42,0.91,16.6,32.277,101,17.4,830,327,11.82,-5.609,0.91,0,0,16068,1551
167597,Rudis Gluten-Free Bakery Original Sandwich Bread,Baked Foods,320,10.7,3.13,52.83,8.36,3.5,0.339,24,0.76,92,11,49.33,0.36,0,3.46,4.9,7363,2218
167627,Mush Blue Corn With Ash (Navajo),American Indian,54,0.49,0.66,11.74,0.19,1.1,0.074,96,2.92,58,20,10.64,-1.231,0.19,0,0,109,208
167636,Tamales (Navajo),American Indian,153,6.12,6.28,18.12,0.99,3.1,2.396,29,1.22,131,22,15.02,3.021,0.4,0.21,0.17,2739,688
167639,Fish Salmon Coho (Silver) Raw (Alaska Native),American Indian,140,5.57,22.56,0,0,0,0.904,5,0.55,380,28,0,11.115,0,0,0,1790,2410
167641,Oil Spotted Seal (Alaska Native),American Indian,894,99.32,0,0,0,0,14.74,0,0,0,0,0,0,0,0,0,54520,18060
167643,Fish Whitefish Eggs (Alaska Native),American Indian,104,2.88,14.66,4.89,0,0,0.496,46,5.95,190,30,4.89,13.109,0,0,0,1046,1073
167644,Caribou Rump Meat Half Dried (Alaska Native),American Indian,255,5.23,52.06,0,0,0,1.55,14,11,710,60,0,26.528,0,0,0,1190,630
167655,Frybread Made With Lard (Apache),American Indian,309,10.14,8.38,46.01,1.54,1.7,3.631,52,3.43,75,19,44.31,5.492,0.22,0.09,0,3500,1306
167658,Restaurant Mexican Soft Taco With Ground Beef Cheese And Lettuce,Restaurant Foods,219,10.81,12.56,17.92,2.39,1.5,4.486,116,1.85,244,27,16.42,5.152,0,0.79,0.66,4229,1203
167717,Yeast Extract Spread,Soups and Sauces,185,0.9,23.88,20.42,1.6,6.5,0,67,4.04,2100,180,13.92,-34.366,0,0,0,0,0
167742,Scallops,Fish,111,0.84,20.54,5.41,0,0,0.218,10,0.58,314,37,5.41,18.098,0,0,0,82,222
167760,Mamey Sapote,Fruits,124,0.46,1.45,32.1,20.14,5.4,0.169,18,0.78,454,11,26.7,-8.43,4.09,8.01,7.66,102,97
167762,Strawberries,Fruits,32,0.3,0.67,7.68,4.89,2,0.015,16,0.41,153,13,5.68,-2.562,0.47,1.99,2.44,43,155
167870,Pork Cured Feet Pickled,Meats,140,10.02,11.63,0.01,0,0,2.945,32,0.31,13,11,0.01,7.938,0,0,0,5677,784
167933,Crackers Whole-Wheat Reduced Fat,Baked Foods,416,7.59,11.34,75.52,1.22,10.9,1.067,39,3.56,373,120,64.62,7.491,0.9,0.32,0,1609,3568
167940,Cinnamon Buns Frosted (Includes Honey Buns),Baked Foods,452,26.61,4.45,48.6,25.7,1.2,12.649,183,1.37,102,14,47.4,2.128,20.11,3.05,1.11,8723,3676
167949,Snacks Corn-Based Extruded Puffs Or Twists Cheese-Flavor,Snacks,567,36.54,5.46,54.54,3.57,0.8,3.749,53,1.69,180,18,53.74,2.377,0,0,0,478,17934
167959,Snacks Popcorn Air-Popped,Snacks,387,4.54,12.94,77.78,0.87,14.5,0.637,7,3.19,329,144,63.28,8.767,0.72,0.07,0.07,950,2318
167971,Tootsie Roll Chocolate-Flavor Roll,Sweets,387,3.31,1.59,87.73,56.32,0.1,0.967,36,0.8,116,22,87.63,-0.606,39.35,7.85,0.4,1929,266
167992,Kit Kat Wafer Bar,Sweets,518,25.99,6.51,64.59,48.68,1,17.953,125,1,231,37,63.59,0.713,40.04,0.16,0.2,5844,895
168002,Glutino Gluten Free Wafers Lemon Flavored,Baked Foods,515,24.18,0,74.39,42.31,0,10.501,9,0.18,36,3,74.39,0.488,42.31,0,0,8312,2670
168043,Stew Hominy With Mutton (Navajo),American Indian,83,2.06,6.71,9.38,0.11,2,0.733,8,0.81,118,20,7.38,3.202,0.11,0,0,897,287
168049,Caribou Shoulder Meat Dried (Alaska Native),American Indian,271,3.67,59.38,0,0,0,1.586,14,11,810,62,0,30.543,0,0,0,1201,370
168059,Steelhead Trout Dried Flesh (Shoshone Bannock),American Indian,382,8.06,77.27,0,0,0,0.829,85,2.96,1720,84,0,34.368,0,0,0,1228,1739
168076,Dennys Mozzarella Cheese Sticks,Restaurant Foods,324,17.87,13.56,27.22,2.83,1.6,6.643,331,0.84,121,21,25.62,12.482,0,0.63,0.2,4287,5104
168132,Frozen Novelties Ice Type Pop With Low Calorie Sweetener,Sweets,24,0,0,5.92,1.52,0,0,0,0.67,11,1,5.92,-0.258,0.7,0.47,0.34,0,0
168138,Post Honey Bunches Of Oats Honey Roasted,Breakfast Cereals,401,5.46,7.12,81.19,19.79,4.2,0.64,23,34.82,209,50,76.99,3.237,16.67,0.9,0.57,2831,1307
168153,Kiwifruit,Fruits,61,0.52,1.14,14.66,8.99,3,0.029,34,0.31,312,17,11.66,-5.656,0.15,4.11,4.35,47,287
168176,Feijoa,Fruits,61,0.42,0.71,15.21,8.2,6.4,0.104,17,0.14,172,9,8.81,-3.036,2.93,2.32,2.95,56,136
168277,Bacon (Raw),Meats,393,37.13,13.66,0,0.35,0,12.615,6,0.38,201,13,0,8.174,0,0.35,0,15922,5757
168389,Asparagus,Vegetables,20,0.12,2.2,3.88,1.88,2.1,0.04,24,2.14,202,14,1.78,-1.94,0.23,0.65,1,0,50
168409,Cucumber,Vegetables,15,0.11,0.65,3.63,1.67,0.5,0.037,16,0.28,147,13,3.13,-2.445,0.03,0.76,0.87,5,32
168411,Edamame,Beans and Lentils,121,5.2,11.91,8.91,2.18,5.2,0.62,63,2.27,436,64,3.71,0.387,1.12,0,0.12,1282,2156
168462,Spinach,Vegetables,23,0.39,2.86,3.63,0.42,2.2,0.063,99,2.71,558,79,1.43,-11.924,0.07,0.11,0.15,10,165
168588,Almond Butter,Nuts and Seeds,614,55.5,20.96,18.82,4.43,10.3,4.152,347,3.49,748,279,8.52,1.435,4.34,0.02,0,32445,13613
168598,Nuts Macadamia Nuts Dry Roasted With Salt Added,Nuts and Seeds,716,76.08,7.79,12.83,4.14,8,11.947,70,2.65,363,118,4.83,-0.53,4,0.07,0.07,59275,1498
168746,Beer,Beverages,43,0,0.46,3.55,0,0,0,4,0.02,27,6,3.55,-0.036,0,0,0,0,0
168773,Egg Custards Dry Mix Prepared With Whole Milk,Sweets,122,4,3.99,17.6,4.82,0,2.032,139,0.34,207,16,17.6,0.17,0,0,0,1127,312
168813,Frozen Novelties Ice Type Pop,Sweets,79,0.24,0,19.23,13.66,0,0.013,0,0.54,15,1,19.23,-0.343,6.28,3.96,2.72,51,16
168820,Molasses,Sweets,290,0.1,0,74.73,74.72,0,0.018,205,4.72,1464,242,74.73,-38.773,29.4,11.92,12.79,32,50
168861,Snacks Granola Bar Fruit-Filled Nonfat,Snacks,342,0.9,5.9,77.6,45.24,7.4,0.2,3,4,220,50,70.2,1.409,33.51,4.27,7.46,240,350
168862,Snacks Kelloggs Nutri-Grain Cereal Bars Fruit,Snacks,365,8.67,4.22,67.61,28.98,3,1.442,576,6.14,247,37,64.61,-6.647,4.1,12.43,9.19,1989,4544
168867,Cornmeal Degermed Enriched Yellow,Grains and Pasta,370,1.75,7.11,79.45,1.61,3.9,0.22,3,4.36,142,32,75.55,3.27,0.68,0.56,0.17,390,828
168876,Rice Brown Parboiled Dry Uncle Bens,Grains and Pasta,370,2.75,7.6,78.68,0.5,3.5,0.481,8,1.16,219,98,75.18,6.597,0.5,0,0,1024,841
168877,Rice White Long-Grain Regular Raw Enriched,Grains and Pasta,365,0.66,7.13,79.95,0.12,1.3,0.18,28,4.31,115,25,78.65,4.301,0.08,0.02,0.02,206,177
168884,Rye Grain,Grains and Pasta,338,1.63,10.34,75.86,0.98,15.1,0.197,24,2.63,510,110,60.76,3.385,0.71,0.16,0.11,208,767
168885,Rye Flour Dark,Grains and Pasta,325,2.22,15.91,68.63,2.31,23.8,0.269,37,4.97,717,160,44.83,6.441,1.8,0.22,0.23,284,1046
168893,Wheat Flour Whole-Grain,Grains and Pasta,340,2.5,13.21,71.97,0.41,10.7,0.43,34,3.6,363,137,61.27,7.978,0.36,0,0.05,283,1167
168910,Whole Wheat Pasta,Grains and Pasta,149,1.71,5.99,30.07,0.75,3.9,0.243,13,1.72,96,54,26.17,4.019,0.2,0.07,0.07,176,574
168943,Whole Grain Sorghum Flour,Grains and Pasta,359,3.34,8.43,76.64,1.94,6.6,0.528,12,3.14,324,123,70.04,4.189,0.47,1.31,0.16,943,1403
168961,Chicken Thighs Frozen Breaded Reheated,Prepared Meals,334,22.45,18.66,14.23,0,0.1,5.207,75,1.26,279,31,14.13,8.496,0,0,0,10123,4813
